n|rsc|name|format|dateCr|dateMo|id|size
358|cpalist|הוראות לפתיחת קובץ מאגר באמצעות תוכנת excel|PDF|2021-06-08|2021-06-08|9e4a8c2e-f472-4f72-8e83-45969f3716c1|968126
359|cpc|סיווגי CPC|CSV|2019-11-13|2023-03-24|cf8ed236-6bb2-4df4-91b9-4881102daec0|24876477
359|cpc|הוראות לפתיחת קובץ מאגר באמצעות תוכנת excel|PDF|2022-07-26|2022-07-26|cd7e1865-0d09-455f-b353-457c1b9f1e2a|968126
361|cvfr|CVFR_SHP|ZIP|2020-05-12|2022-11-06|e5436712-2829-4079-982f-576195277766|79475
361|cvfr|CVFR_KMZ|ZIP|2020-05-12|2022-11-06|675eb378-b9fe-4f1c-8329-1341d85d78ea|111589
361|cvfr|CVFR_csv|CSV|2020-05-12|2022-11-06|3811ad6d-ee91-4d18-87b4-c2f672f03a6a|134
361|cvfr|מטאדאטה|PDF|2020-11-02|2022-11-06|e5a8ec2f-7965-475c-9529-e3f59c3997a7|165828
362|cybermarketplace|מרקטפלייס|CSV|2020-04-07|2020-11-18|338b04a0-82d2-4366-9877-22e6d2698f10|99142
363|dargat_ziuhum_cley_tzama|דרגת זיהום אוויר של כלי צמ"ה|XLSX|2021-12-16|2023-03-19|f2e130e8-bc94-4443-91bd-3ba3353b1494|9293209
364|database-of-plant-pests-in-israel|Database of plant pests in Israel|CSV|2019-12-17|2023-03-25|8f890276-e5e3-478e-a772-17553d2cb10f|810743
365|datasetlist|מיפוי המאגרים 2023 - דברי הסבר|PDF|2021-08-30|2023-02-16|c569fa65-1525-4070-b306-d297b81debca|438065
365|datasetlist|מיפוי מאגרי מידע במשרדי הממשלה |CSV|2018-05-24|2023-03-23|63717ee6-90db-4627-86fe-026a24933249|551562
367|daycares-br7|GeoJSON|GeoJSON|2017-05-29|2023-03-06|9b742f2e-6933-47a5-9cfc-329736582b03|58974
367|daycares-br7|CSV|CSV|2017-07-11|2023-03-06|8a9c6e64-fda8-499c-887c-4e7b3eb82332|10667
367|daycares-br7|XML|XML|2017-07-11|2023-03-06|c935bba6-3a4c-4856-a3ed-57f926d5dcb9|33980
367|daycares-br7|SHP|ZIP|2017-07-12|2023-03-06|3978eff0-121f-40c9-863e-06583786ab0a|39519
367|daycares-br7|XLSX|XLSX|2019-11-17|2023-03-06|00fce96a-5f53-4777-9846-dd3c161221ba|12436
367|daycares-br7|JSON|JSON|2019-12-30|2023-03-06|bd5a1385-f8ac-441b-a252-605281230690|19156
367|daycares-br7|GeoXML|XML|2019-12-30|2023-03-06|ff52885f-65a8-4e42-8c04-92584c742ce4|69808
367|daycares-br7|KML|KML|2020-08-02|2023-03-06|0c4a32f7-28ea-44d9-8cfe-6d7022e4885f|47008
367|daycares-br7|GeoJSON-ITM|GeoJSON|2021-04-25|2023-03-06|5b4dca67-2d59-44d7-8e0f-1a3085421fb0|58880
367|daycares-br7|CSV-ITM|CSV|2021-04-25|2023-03-06|4fd905ca-5ea0-45f6-a060-546b42194474|10630
